model,year,transmission,mileage,fuelType,tax(£),mpg,engineSize,price
 I10,2018,Manual,12948,Petrol,145,60.1,0,8500
 I30,2019,Manual,2481,Petrol,145,41.5,0,14500
 Tucson,2016,Manual,27311,Diesel,30,61.7,0,13800
 I30,2016,Manual,34443,Diesel,0,78.4,0,9000
 Tucson,2017,Manual,16961,Diesel,30,61.7,0,13800
 Tucson,2017,Manual,5067,Petrol,145,44.8,1.6,14100
 I10,2013,Manual,45230,Petrol,20,61.4,0,5000
 I10,2018,Manual,6349,Petrol,145,57.6,0,10300
 I40,2015,Manual,13268,Diesel,30,65.7,0,11500
 I30,2016,Manual,29610,Diesel,0,78.4,0,9000
 IX35,2015,Manual,23041,Diesel,165,51.4,0,11400
 I20,2017,Manual,21821,Petrol,145,61.4,0,10000
 I10,2018,Manual,17397,Petrol,150,60.1,0,7800
 I10,2016,Manual,31854,Petrol,20,60.1,0,6300
 Tucson,2016,Manual,37993,Diesel,30,61.7,0,11300
 I800,2018,Manual,30305,Diesel,145,31.7,0,15500
 I20,2018,Manual,3920,Petrol,150,46.3,0,11700
 Tucson,2017,Manual,21875,Petrol,145,38.7,1.6,16800
 I10,2016,Manual,27465,Petrol,20,60.1,1,6500
 I10,2019,Manual,4920,Petrol,145,60.1,1,8600
 I30,2016,Manual,18577,Petrol,145,48.7,1.4,9400
 IX20,2013,Manual,42320,Petrol,145,45.6,1.4,6000
 Tucson,2017,Manual,23310,Diesel,30,61.7,0,15000
 Tucson,2019,Manual,22397,Petrol,150,34.9,0,15000
 Tucson,2019,Manual,10066,Petrol,150,34.9,0,16300
 I10,2018,Manual,13148,Petrol,150,60.1,0,8300
 I800,2019,Manual,7691,Diesel,150,31.7,0,18500
 Tucson,2016,Manual,21898,Diesel,30,61.7,1.7,12300
 I10,2016,Manual,24740,Petrol,20,60.1,1,6500
 I10,2014,Manual,20127,Petrol,20,60.1,1,5500
 I800,2018,Automatic,34103,Diesel,145,33.6,2.5,15299
 IX20,2016,Manual,21152,Diesel,30,64.2,1.6,9000
 I10,2017,Manual,15618,Petrol,145,60.1,1,7600
 I10,2017,Manual,15594,Petrol,20,60.1,0,7300
 I20,2015,Manual,28123,Petrol,30,56.5,0,7500
 Ioniq,2019,Automatic,1963,Petrol,135,78.5,1.6,19800
 I10,2015,Manual,13637,Petrol,30,57.6,0,7500
 Tucson,2017,Automatic,7457,Diesel,125,57.6,0,15700
 I20,2017,Manual,16708,Petrol,145,58.9,0,8500
 Tucson,2017,Manual,2236,Petrol,160,44.8,1.6,12000
 I30,2018,Manual,21859,Petrol,145,56.5,1,9299
 Tucson,2016,Manual,31480,Diesel,30,61.7,1.7,11599
 I10,2017,Manual,31696,Petrol,145,57.7,1.2,7000
 I10,2017,Manual,16636,Petrol,145,60.1,0,8000
 I20,2017,Manual,19398,Petrol,30,58.9,0,8600
 I30,2016,Manual,18257,Diesel,0,78.4,1.6,8900
 IX35,2014,Manual,35541,Diesel,145,53.3,1.7,9800
 I10,2015,Manual,22211,Petrol,20,60.1,1,6800
 I30,2018,Automatic,35097,Petrol,145,51.4,1.4,11531
 I40,2016,Automatic,27712,Diesel,125,56.5,1.7,11400
 IX20,2016,Manual,27696,Petrol,125,50.4,1.4,7194
 I10,2015,Manual,12731,Petrol,30,57.6,1.2,6500
 Tucson,2018,Manual,20443,Petrol,145,44.8,1.6,12556
 I10,2014,Manual,40248,Petrol,20,60.1,1,5644
 I10,2017,Manual,21321,Petrol,145,57.7,1.2,7799
 IX35,2011,Manual,72436,Diesel,200,47.9,2,6936
 I10,2018,Automatic,8418,Petrol,145,47.9,1.2,9499
 IX35,2012,Manual,119050,Diesel,150,48.7,1.7,5000
 I30,2018,Manual,15804,Petrol,145,57.7,1,9000
 I800,2017,Automatic,44749,Diesel,145,33.6,2.5,13499
 I10,2016,Manual,23176,Petrol,30,57.6,1.2,6000
 I10,2018,Automatic,28889,Petrol,145,47.9,1.2,8495
 I20,2019,Manual,3300,Petrol,145,46.3,1.2,11995
 I10,2018,Manual,31738,Petrol,145,60.1,1,6350
 I20,2019,Manual,5409,Petrol,150,46.3,1.2,11795
 Tucson,2016,Manual,25071,Diesel,30,61.7,1.7,13300
 Tucson,2018,Manual,17427,Petrol,150,44.8,1.6,13950
 Tucson,2019,Manual,8000,Petrol,150,34.9,1.6,15600
 Tucson,2016,Manual,26804,Diesel,30,61.7,1.7,12795
 I10,2014,Manual,31090,Petrol,30,57.6,0,6600
 Veloster,2012,Manual,60200,Petrol,165,43.5,1.6,6300
 Santa Fe,2014,Automatic,37006,Diesel,265,41.5,2.2,15500
 Tucson,2019,Manual,12254,Petrol,150,34.9,1.6,15400
 I30,2016,Manual,17350,Petrol,145,48.7,1.4,8900
 Tucson,2017,Semi-Auto,27299,Diesel,145,57.6,1.7,14100
 Tucson,2017,Manual,21119,Diesel,30,61.7,1.7,13100
 Tucson,2017,Manual,36750,Diesel,30,61.7,1.7,12600
 Tucson,2016,Manual,37350,Diesel,125,58.9,2,12950
 Tucson,2018,Manual,29413,Petrol,150,44.8,1.6,13300
 Tucson,2017,Manual,33808,Diesel,30,61.7,1.7,12700
 IX35,2015,Manual,26564,Petrol,200,41.5,0,9700
 IX35,2014,Manual,54304,Diesel,145,53.3,0,8700
 I20,2016,Manual,41496,Petrol,30,56.5,0,7500
 IX20,2014,Manual,38601,Petrol,125,50.4,0,6500
 I10,2017,Manual,31232,Petrol,145,57.7,0,7000
 I20,2019,Manual,7061,Petrol,145,46.3,1.2,12000
 I30,2015,Manual,29980,Diesel,0,78.4,1.6,8250
 I20,2017,Manual,44120,Petrol,150,62.8,1,7999
 IX35,2011,Automatic,48528,Diesel,300,39.2,2,7799
 Tucson,2016,Automatic,20645,Diesel,205,47.1,2,14999
 Santa Fe,2017,Automatic,20599,Diesel,150,42.8,2.2,18999
 I10,2012,Manual,56582,Petrol,20,61.4,1.2,3799
 I30,2015,Manual,43022,Diesel,0,78.4,1.6,7803
 Tucson,2016,Manual,37688,Diesel,30,61.7,1.7,12995
 Tucson,2016,Automatic,12163,Diesel,200,46.3,2,16498
 I30,2015,Manual,16412,Petrol,145,48.7,1.4,8998
 Kona,2019,Manual,6874,Petrol,145,44.1,1,14298
 IX35,2013,Manual,50998,Diesel,145,48.7,1.7,7298
 I10,2016,Manual,41883,Petrol,30,57.6,1.2,5998
 I30,2018,Manual,5404,Diesel,145,74.3,1.6,11998
 I800,2018,Manual,36815,Diesel,145,28,2.5,15998
 I10,2014,Manual,13840,Petrol,20,60.1,1,5498
 I30,2016,Manual,56693,Diesel,0,78.4,1.6,7498
 IX20,2015,Manual,57819,Petrol,125,50.4,1.4,6498
 Kona,2019,Manual,5630,Petrol,145,44.1,1,15498
 I20,2017,Manual,19685,Petrol,145,58.9,1.2,8498
 Tucson,2017,Manual,17539,Diesel,30,61.7,1.7,13698
 I10,2017,Manual,39968,Petrol,145,57.7,1.2,6998
 Tucson,2017,Manual,21679,Diesel,30,61.7,1.7,13998
 Tucson,2017,Manual,9146,Diesel,150,61.7,1.7,14498
 I800,2019,Automatic,1477,Diesel,145,31.7,2.5,19998
 Kona,2018,Manual,12834,Petrol,145,52.3,1,12498
 I40,2017,Manual,59626,Diesel,150,67.3,1.7,8998
 IX20,2016,Manual,28355,Petrol,125,50.4,1.4,8298
 Kona,2018,Manual,23400,Petrol,145,52.3,1,15995
 IX35,2015,Manual,46000,Diesel,145,53.3,1.7,9495
 I30,2018,Manual,24070,Petrol,145,57.7,1,8998
 I30,2019,Manual,3010,Petrol,145,41.5,1.4,14998
 I30,2019,Manual,3303,Petrol,145,41.5,1.4,14998
 Kona,2019,Automatic,1391,Hybrid,135,52.3,1.6,21998
 I20,2017,Manual,16900,Petrol,145,55.4,1.2,8998
 I40,2016,Manual,29347,Diesel,30,65.7,1.7,10998
 I20,2016,Manual,17206,Petrol,30,58.9,1,9498
 I10,2015,Manual,8116,Petrol,20,60.1,1,5998
 IX20,2015,Manual,20077,Petrol,125,50.4,1.4,7998
 I20,2017,Manual,28502,Petrol,145,55.4,1.2,7998
 I20,2015,Manual,23656,Petrol,30,55.4,1.2,7398
 I20,2015,Manual,43795,Petrol,125,51.4,1.4,6698
 I20,2017,Manual,9392,Petrol,30,58.9,1.2,8598
 I30,2019,Manual,1437,Petrol,145,34,2,23498
 Kona,2019,Manual,2383,Petrol,145,44.1,1,14998
 Santa Fe,2019,Semi-Auto,4133,Diesel,145,39.2,2.2,34998
 Santa Fe,2019,Semi-Auto,4956,Diesel,145,39.2,2.2,34998
 Tucson,2019,Manual,3454,Petrol,145,35.3,1.6,15998
 I30,2019,Manual,3001,Petrol,145,41.5,1.4,14998
 Tucson,2019,Manual,14877,Petrol,150,34.9,1.6,15498
 Tucson,2019,Semi-Auto,3649,Petrol,150,36.2,1.6,18998
 Tucson,2017,Manual,12811,Diesel,150,61.7,1.7,14498
 Tucson,2017,Semi-Auto,19066,Diesel,150,57.6,1.7,15298
 Tucson,2017,Semi-Auto,11231,Diesel,150,57.6,1.7,15998
 I10,2017,Manual,23692,Petrol,20,60.1,1,6498
 Santa Fe,2017,Manual,48034,Diesel,205,47.1,2.2,15998
 Tucson,2016,Manual,41953,Diesel,30,61.7,1.7,12498
 IX20,2014,Manual,42386,Diesel,30,64.2,1.6,5998
 Tucson,2018,Manual,12875,Petrol,145,38.7,1.6,16500
 Santa Fe,2015,Semi-Auto,38514,Diesel,265,42.2,2.2,16998
 Tucson,2016,Manual,20258,Petrol,160,44.8,1.6,10998
 Tucson,2017,Semi-Auto,12150,Diesel,145,57.6,1.7,15998
 Tucson,2016,Automatic,14884,Diesel,235,43.5,2,18698
 Tucson,2017,Manual,35213,Diesel,145,61.7,1.7,11498
 Tucson,2018,Manual,7482,Petrol,145,44.8,1.6,14998
 Tucson,2019,Manual,12077,Petrol,145,34.9,1.6,15498
 Tucson,2017,Manual,5863,Petrol,160,44.8,1.6,13498
 I20,2018,Automatic,20796,Petrol,145,45.6,1.4,9985
 I10,2017,Manual,8788,Petrol,145,60.1,1,7498
 Tucson,2019,Manual,17841,Petrol,150,34.9,1.6,15998
 I30,2015,Manual,21701,Petrol,150,48.7,1.4,8798
 Tucson,2019,Manual,15751,Petrol,150,34.9,1.6,15498
 I20,2016,Manual,17499,Petrol,30,55.4,1.2,8298
 Kona,2019,Manual,6717,Petrol,150,44.1,1,14998
 Ioniq,2019,Automatic,5530,Hybrid,140,62.8,1.6,20998
 Kona,2019,Automatic,4672,Hybrid,140,52.3,1.6,20998
 I30,2017,Manual,17609,Diesel,145,72.4,1.6,10485
 Santa Fe,2018,Manual,13436,Diesel,145,47.1,2.2,21985
 I10,2020,Manual,100,Petrol,145,51.4,1.2,14485
 I20,2020,Manual,100,Petrol,145,46.3,1.2,14485
 Tucson,2016,Manual,53963,Diesel,30,61.7,1.7,11485
 I20,2016,Manual,51552,Petrol,30,56.5,1.2,7489
 Santa Fe,2017,Semi-Auto,38452,Diesel,150,42.8,2.2,19429
 I10,2017,Manual,20200,Petrol,145,60.1,1,6995
 I10,2019,Manual,5223,Petrol,150,57.6,1.2,9985
 Ioniq,2019,Automatic,2844,Hybrid,140,1.1,1.6,22998
 Tucson,2016,Manual,35251,Diesel,30,61.7,1.7,13298
 I800,2019,Manual,7761,Diesel,145,31.7,2.5,19998
 I40,2015,Manual,34572,Diesel,30,65.7,1.7,9298
 Tucson,2017,Manual,42858,Diesel,205,47.9,2,14985
 Tucson,2018,Manual,15563,Diesel,150,61.7,1.7,13985
 I40,2017,Manual,17393,Diesel,145,65.7,1.7,11485
 I30,2017,Manual,19273,Diesel,145,74.3,1.6,10785
 I30,2017,Manual,15359,Diesel,145,72.4,1.6,10485
 I20,2019,Manual,10758,Petrol,145,46.3,1.2,9485
 I20,2019,Manual,13484,Petrol,145,46.3,1.2,10485
 I30,2017,Manual,18266,Diesel,145,72.4,1.6,8985
 Tucson,2016,Semi-Auto,23865,Diesel,125,57.6,1.7,14798
 Tucson,2017,Manual,31739,Diesel,145,61.7,1.7,13698
 Tucson,2017,Semi-Auto,17754,Diesel,125,57.6,1.7,14498
 I10,2014,Manual,23928,Petrol,20,60.1,1,5498
 Tucson,2016,Manual,40297,Diesel,30,61.7,1.7,11498
 IX35,2015,Manual,59238,Diesel,145,54.3,1.7,8250
 I10,2017,Manual,25203,Petrol,30,57.7,1.2,7495
 I800,2017,Automatic,35154,Diesel,325,33.6,2.5,15985
 IX35,2015,Manual,59817,Diesel,145,54.3,1.7,7885
 IX35,2015,Manual,54783,Diesel,150,53.3,1.7,7995
 I20,2019,Manual,11166,Petrol,145,46.3,1.2,10485
 Tucson,2016,Manual,40191,Diesel,30,61.7,1.7,10998
 I20,2017,Manual,12588,Petrol,145,55.4,1.2,8498
 Santa Fe,2015,Manual,54963,Diesel,200,46.3,2.2,13998
 Tucson,2016,Manual,35224,Diesel,30,61.7,1.7,11998
 I20,2017,Manual,19229,Petrol,145,62.8,1,8995
 Santa Fe,2013,Semi-Auto,72854,Diesel,260,41.5,2.2,12245
 Santa Fe,2016,Semi-Auto,22404,Diesel,235,42.2,2.2,18295
 Kona,2018,Manual,7910,Petrol,145,52.3,1,12998
 IX35,2014,Manual,71289,Diesel,145,53.3,1.7,7298
 I20,2013,Manual,45461,Petrol,30,57.6,1.2,3998
 Tucson,2016,Manual,40457,Diesel,30,61.7,1.7,11998
 Tucson,2019,Manual,23773,Petrol,145,34.9,1.6,15498
 Kona,2019,Manual,5034,Petrol,145,44.1,1,14298
 Tucson,2016,Manual,35030,Diesel,145,54.3,2,15798
 Tucson,2017,Manual,19400,Diesel,30,61.7,1.7,14498
 I20,2016,Automatic,28560,Petrol,160,42.2,1.4,8998
 Tucson,2016,Manual,35153,Diesel,30,61.7,1.7,12298
 I20,2017,Manual,18047,Petrol,30,55.4,1.2,8298
 Tucson,2017,Manual,35003,Diesel,30,61.7,1.7,13498
 Tucson,2019,Manual,11757,Petrol,145,34.9,1.6,15498
 I40,2016,Manual,38259,Diesel,30,65.7,1.7,9698
 Tucson,2017,Manual,40262,Diesel,145,61.7,1.7,12998
 Ioniq,2018,Automatic,19348,Hybrid,135,78.5,1.6,17298
 Tucson,2017,Manual,12239,Diesel,30,61.7,1.7,12398
 Tucson,2016,Semi-Auto,30551,Diesel,125,57.6,1.7,13998
 I30,2015,Manual,40237,Diesel,0,78.4,1.6,6498
 Tucson,2019,Manual,11915,Petrol,150,34.9,1.6,15498
 I10,2017,Manual,37254,Petrol,20,60.1,1,6498
 Tucson,2016,Manual,13254,Diesel,145,54.3,2,14698
 IX20,2016,Manual,20760,Petrol,125,50.4,1.4,7998
 Tucson,2017,Semi-Auto,7015,Diesel,145,57.6,1.7,15698
 Tucson,2018,Manual,14183,Petrol,145,44.8,1.6,12698
 Tucson,2015,Manual,69085,Diesel,30,61.7,1.7,10298
 I40,2014,Manual,51515,Diesel,30,62.8,1.7,7498
 Tucson,2016,Manual,15959,Diesel,30,61.7,1.7,12498
 Kona,2019,Manual,10757,Petrol,145,44.1,1,14298
 Kona,2019,Manual,9829,Petrol,145,44.1,1,14298
 I800,2018,Manual,37324,Diesel,145,28,2.5,15998
 I30,2018,Manual,14655,Petrol,145,56.5,1,11298
 I30,2018,Manual,20596,Petrol,145,57.7,1,8998
 I30,2018,Manual,12486,Diesel,145,74.3,1.6,11998
 I20,2014,Manual,43444,Petrol,30,57.6,1.2,4998
 Tucson,2017,Manual,37587,Diesel,145,54.3,2,14498
 Tucson,2017,Manual,23643,Diesel,145,61.7,1.7,13998
 Tucson,2017,Semi-Auto,13094,Diesel,125,57.6,1.7,14998
 Tucson,2018,Manual,4411,Petrol,145,34.9,1.6,15500
 Kona,2019,Manual,10,Petrol,145,44.1,1,15498
 IX35,2013,Manual,80465,Diesel,145,53.3,1.7,6998
 Tucson,2019,Manual,17948,Petrol,145,34.9,1.6,15498
 Kona,2019,Manual,10,Petrol,145,44.1,1,15498
 I30,2019,Manual,3292,Petrol,145,41.5,1.4,14998
 Tucson,2016,Manual,29051,Diesel,30,61.7,1.7,11698
 I30,2013,Manual,59039,Diesel,0,74.3,1.6,5998
 I10,2016,Manual,20851,Petrol,20,60.1,1,5998
 I20,2015,Manual,35921,Petrol,30,55.4,1.2,7298
 I30,2017,Manual,43717,Diesel,20,72.4,1.6,9698
 I30,2018,Manual,14927,Petrol,145,56.5,1,10998
 I40,2016,Manual,40134,Diesel,30,65.7,1.7,9698
 Kona,2019,Manual,10,Petrol,145,44.1,1,15498
 Kona,2018,Manual,12884,Petrol,145,44.1,1,13498
 Kona,2018,Manual,9616,Petrol,145,44.1,1,13698
 I10,2017,Manual,19419,Petrol,145,60.1,1,6698
 Kona,2019,Manual,879,Petrol,145,44.1,1,15298
 IX20,2017,Manual,9604,Petrol,145,50.4,1.4,9998
 I10,2014,Manual,17904,Petrol,20,60.1,1,5500
 Tucson,2016,Manual,24400,Petrol,160,44.8,1.6,11400
 IX20,2017,Manual,22861,Petrol,145,50.4,1.4,8998
 Santa Fe,2015,Manual,25770,Diesel,200,46.3,2.2,14498
 I20,2017,Manual,14814,Petrol,150,55.4,1.2,7798
 Kona,2019,Manual,4396,Petrol,145,44.1,1,13998
 I10,2017,Manual,26222,Petrol,145,60.1,1,6498
 Tucson,2015,Manual,27256,Diesel,30,61.7,1.7,11998
 I30,2016,Manual,20251,Petrol,125,50.4,1.4,8498
 IX20,2016,Manual,18562,Petrol,125,50.4,1.4,7998
 Tucson,2017,Manual,19372,Diesel,150,61.7,1.7,13998
 I10,2017,Manual,23455,Petrol,20,60.1,1,6498
 Tucson,2019,Manual,6491,Hybrid,145,47.9,1.6,23998
 Kona,2018,Manual,11458,Petrol,145,52.3,1,12998
 I20,2017,Manual,35934,Petrol,145,58.9,1.2,7998
 I800,2018,Automatic,34889,Diesel,145,28,2.5,15498
 I800,2018,Manual,37485,Diesel,145,28,2.5,15498
 I30,2016,Manual,32025,Diesel,0,78.4,1.6,8998
 Tucson,2018,Manual,23513,Petrol,145,34.9,1.6,14498
 Tucson,2017,Manual,33461,Diesel,30,61.7,1.7,12998
 I30,2018,Manual,11462,Petrol,145,57.7,1,9498
 I30,2018,Manual,16259,Petrol,145,57.7,1,9298
 I30,2019,Manual,3241,Petrol,145,41.5,1.4,14998
 I800,2019,Manual,2573,Diesel,145,31.7,2.5,20998
 I800,2019,Manual,17972,Diesel,145,28,2.5,17998
 Tucson,2018,Manual,14429,Petrol,145,34.9,1.6,15298
 I10,2017,Manual,37864,Petrol,145,60.1,1,6498
 I20,2019,Manual,1023,Petrol,145,46.3,1.2,12498
 I10,2017,Manual,21070,Petrol,145,60.1,1,6498
 Kona,2018,Manual,23001,Petrol,145,52.3,1,12498
 Kona,2018,Manual,9133,Petrol,145,52.3,1,12998
 Ioniq,2019,Automatic,16280,Hybrid,135,78.5,1.6,15998
 Ioniq,2019,Automatic,4004,Hybrid,135,78.5,1.6,16498
 Kona,2018,Manual,11893,Petrol,145,44.1,1,13998
 I800,2019,Manual,2804,Diesel,145,28,2.5,21498
 Kona,2018,Manual,14441,Petrol,145,44.1,1,13698
 I20,2016,Manual,13643,Petrol,20,62.8,1,8298
 I20,2017,Manual,1862,Petrol,150,55.4,1.2,9490
 Tucson,2016,Manual,19312,Diesel,30,61.7,1.7,11495
 I30,2019,Manual,14121,Diesel,145,58.9,1.6,12998
 I30,2018,Manual,11150,Petrol,145,56.5,1,11298
 I30,2018,Manual,8337,Diesel,145,74.3,1.6,11998
 Tucson,2016,Manual,25044,Diesel,125,58.9,2,14995
 Santa Fe,2016,Manual,44905,Diesel,200,47.1,2.2,16498
 Tucson,2018,Manual,7874,Diesel,145,48.7,1.6,17998
 I10,2018,Manual,24152,Petrol,145,60.1,1,6998
 Santa Fe,2013,Semi-Auto,59701,Diesel,265,41.5,2.2,11498
 I20,2015,Manual,23001,Petrol,30,55.4,1.2,7798
 Tucson,2019,Manual,11751,Petrol,145,34.9,1.6,15998
 IX20,2016,Manual,16407,Petrol,125,50.4,1.4,8298
 Tucson,2016,Manual,36512,Diesel,30,61.7,1.7,11998
 I10,2017,Manual,21962,Petrol,145,60.1,1,6998
 Tucson,2016,Manual,23257,Diesel,30,61.7,1.7,13298
 I30,2019,Manual,3398,Petrol,145,41.5,1.4,14998
 Kona,2018,Manual,6922,Petrol,145,44.1,1,13498
 I30,2015,Manual,25399,Petrol,145,47.1,1.4,7998
 I20,2016,Manual,19230,Petrol,30,55.4,1.2,7398
 Kona,2019,Manual,8777,Petrol,145,44.1,1,13998
 Tucson,2018,Manual,37305,Petrol,145,34.9,1.6,14498
 Kona,2018,Manual,8795,Petrol,145,44.1,1,14298
 Ioniq,2018,Automatic,13884,Hybrid,135,78.5,1.6,17298
 Ioniq,2018,Automatic,6443,Hybrid,135,78.5,1.6,17298
 I10,2017,Manual,25878,Petrol,145,57.7,1.2,7998
 Tucson,2017,Manual,26826,Diesel,30,61.4,1.7,15498
 Tucson,2019,Manual,17325,Petrol,145,34.9,1.6,15498
 I30,2015,Manual,64365,Diesel,0,78.4,1.6,6698
 Tucson,2019,Manual,17865,Petrol,145,34.9,1.6,15498
 I800,2018,Manual,38520,Diesel,145,28,2.5,15998
 Tucson,2016,Manual,63104,Diesel,30,61.7,1.7,11498
 Tucson,2016,Manual,31054,Diesel,30,61.7,1.7,12498
 Santa Fe,2013,Automatic,38602,Diesel,260,41.5,2.2,12498
 I30,2016,Manual,50167,Diesel,0,78.4,1.6,7998
 I800,2018,Manual,36164,Diesel,145,28,2.5,15498
 I800,2018,Manual,36759,Diesel,145,28,2.5,15498
 I20,2017,Manual,21451,Petrol,145,55.4,1.2,7998
 I30,2018,Manual,14147,Petrol,145,56.5,1,10998
 I30,2018,Manual,11901,Petrol,145,56.5,1,11498
 I30,2018,Manual,4758,Diesel,145,74.3,1.6,12498
 Tucson,2018,Manual,18,Petrol,145,34.9,1.6,16498
 I30,2018,Manual,11852,Petrol,145,57.7,1,9498
 I30,2015,Manual,45640,Petrol,145,47.1,1.4,6844
 Santa Fe,2014,Manual,50425,Diesel,200,46.3,2.2,11830
 Tucson,2019,Manual,9488,Petrol,145,34.9,1.6,15998
 Kona,2018,Manual,11118,Petrol,145,44.1,1,13698
 Kona,2018,Manual,11139,Petrol,145,44.1,1,13698
 Tucson,2016,Manual,48233,Diesel,30,61.7,1.7,11798
 I30,2018,Manual,17402,Petrol,145,56.5,1,11298
 I30,2016,Manual,24109,Petrol,145,48.7,1.4,9498
 I30,2018,Manual,12130,Petrol,145,57.7,1,9998
 I30,2018,Manual,11122,Diesel,145,74.3,1.6,11498
 I30,2018,Manual,14875,Petrol,145,56.5,1,11498
 Tucson,2019,Manual,14461,Petrol,150,34.9,1.6,15498
 I10,2017,Manual,5733,Petrol,20,60.1,1,7998
 Tucson,2017,Manual,45726,Diesel,150,61.7,1.7,14298
 I30,2016,Manual,41429,Diesel,0,78.4,1.6,7998
 Tucson,2017,Manual,15908,Diesel,145,61.7,1.7,13998
 I30,2013,Manual,42786,Petrol,145,47.1,1.4,5995
 I40,2015,Manual,53730,Diesel,30,65.7,1.7,8854
 IX35,2013,Manual,78189,Diesel,145,48.7,1.7,5998
 IX20,2016,Manual,30565,Petrol,125,50.4,1.4,7998
 IX35,2013,Manual,91001,Diesel,150,48.7,1.7,5698
 Tucson,2016,Manual,24636,Petrol,165,44.8,1.6,11698
 Tucson,2016,Manual,35870,Diesel,30,61.7,1.7,12698
 I20,2018,Manual,11010,Petrol,145,58.9,1.2,9494
 Tucson,2017,Manual,62382,Diesel,30,61.7,1.7,10995
 I10,2018,Semi-Auto,4826,Petrol,145,47.9,1.2,10498
 Kona,2018,Manual,19001,Petrol,145,52.3,1,12998
 Kona,2018,Manual,18911,Petrol,145,52.3,1,13998
 Kona,2018,Manual,13655,Petrol,145,52.3,1,12998
 IX20,2015,Manual,34123,Petrol,125,50.4,1.4,7498
 I10,2016,Manual,20746,Petrol,20,60.1,1,5998
 Kona,2019,Manual,3752,Petrol,145,44.1,1,15298
 Tucson,2016,Manual,26677,Diesel,30,61.7,1.7,13498
 Tucson,2016,Manual,44268,Diesel,30,61.7,1.7,10998
 I40,2016,Manual,26775,Diesel,30,65.7,1.7,10498
 Tucson,2016,Manual,41350,Diesel,30,61.7,1.7,11998
 I40,2017,Manual,33763,Diesel,145,65.7,1.7,10498
 Tucson,2016,Manual,42404,Diesel,30,61.7,1.7,11498
 Tucson,2016,Manual,37692,Diesel,30,61.7,1.7,11900
 I20,2017,Manual,19583,Petrol,30,55.4,1.2,7998
 IX35,2015,Manual,64925,Diesel,165,51.4,2,8298
 I30,2013,Manual,62227,Petrol,165,46,1.4,5998
 I20,2013,Automatic,26550,Petrol,145,47.1,1.4,6998
 I30,2016,Manual,73053,Petrol,125,50.4,1.4,6998
 I30,2017,Manual,13692,Petrol,145,56.5,1,9998
 Tucson,2019,Manual,15196,Petrol,145,34.9,1.6,15498
 Tucson,2019,Manual,13684,Petrol,145,34.9,1.6,15498
 Tucson,2017,Manual,6741,Petrol,150,44.8,1.6,13698
 Tucson,2018,Manual,9653,Petrol,150,34.9,1.6,15498
 Tucson,2017,Semi-Auto,25630,Diesel,125,57.6,1.7,14298
